[2022-05-13 23:26:16,544] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\RFPP\RFPP.kjb
[2022-05-13 23:26:16,551] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\RFPP\Простые статьи.kjb
[2022-05-13 23:26:16,562] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\RFPP\Составные статьи.kjb
[2022-05-13 23:26:16,590] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\SalePlan\SalePlan.kjb
[2022-05-13 23:26:16,598] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\SpecialistsBonus\SpecialistsBonus.kjb
[2022-05-13 23:26:16,609] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\TurnaroundWorklogs\TurnaroundUpdate.kjb
[2022-05-13 23:26:16,621] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\VTB\SOAVTB.kjb
[2022-05-13 23:26:16,633] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\VTB\jira_bugs\Дефекты окно для ВТБ.kjb
[2022-05-13 23:26:16,639] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\VTB\RELEASE\RELEASE.kjb
[2022-05-13 23:26:16,649] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\VTB\Spira\jira-spira-bugs.kjb
[2022-05-13 23:26:16,662] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\VTB\VTBSLA\VTBSLA.kjb
[2022-05-13 23:26:16,671] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\Долги_статистика\Итоговый расчет.kjb
[2022-05-13 23:27:18,127] [INFO] - C:\projects\temp\ac\localRep\Broadcasts\Admindup\createExcel.ktr
[2022-05-13 23:27:19,491] [ERROR] - error
org.apache.spark.sql.catalyst.parser.ParseException: 
mismatched input ''ФИО'' expecting {<EOF>, ';'}(line 1, pos 25)

== SQL ==
select u.display_name as 'ФИО'
-------------------------^^^
  , ur.display_name as 'Инициатор'
  , uc.display_name as 'Создатель задачи'
  , ifnull(cfo.customvalue, p.pkey) as 'Категория'
  , case 
		when ifnull(cfo.customvalue, p.pkey) in 
			('Ежемесячная Заявка на работы по ING', 'Ежемесячная отчетность', 'Ежемесячное Закрытие по BRC',
			'Еженедельный реестр заказов/поступлений по ВТБ','Еженедельный Файл с долгами', 'Подготовка Expense Report')
		then 'Отчетность'
        when ifnull(cfo.customvalue, p.pkey) in 
			('Автоматизация процессов','мониторинг')
		then 'Автоматизация и мониторинг ДУП'
        when ifnull(cfo.customvalue, p.pkey) in 
			('NEOFLEX')
		then 'Отпуска, больничные, простой'
        else 'Технические задачи'
	end as 'Группа'
  , p.pkey as 'Код проекта'
  , p.pname as 'Название проекта'
  , concat(p.pkey, '-', i.issuenum) as 'Номер задачи'
  , i.SUMMARY as 'Название задачи'
  , w.startdate as 'Дата'
  , w.timeworked/3600 as 'Списано'
  , (select sum(w2.timeworked/3600)
      from worklog w2
    where DATE_FORMAT(w2.STARTDATE, '%Y-%m-%d')>='2018-06-25'
    and DATE_FORMAT(w2.STARTDATE, '%Y-%m-%d')<= CURDATE() - INTERVAL 1 DAY --#prev day
    and w2.AUTHOR=w.AUTHOR) as 'Общее кол-во часов за период'
  from worklog w
  left join jiraissue i
  on w.issueid=i.ID
  left join project p
  on p.ID=i.PROJECT
  left join customfieldvalue cfv
  on cfv.ISSUE=i.ID and cfv.CUSTOMFIELD=10901
  left join customfieldoption cfo
  on cfo.ID=cfv.STRINGVALUE
  left join cwd_user u
  on u.lower_user_name=w.AUTHOR
  left join cwd_user ur
  on ur.lower_user_name=i.REPORTER
  left join cwd_user uc
  on uc.lower_user_name=i.CREATOR
  where u.display_name in ('Malanicheva, Anastasiia','Peiganovich, Anna', 'Koteneva, Natalia', 'Nekrasova, Viktoriia')
  and DATE_FORMAT(w.STARTDATE, '%Y-%m-%d')>='2018-06-25'
